path,category,size_bytes,keywords,sha256_small_files
selected_sources/sdk/openwrt-21.02/Config.in,other,528,,3b3e8031d12e51bfcb9faa183898d36d7850082aff0cfa493bf6afed7cb98e00
selected_sources/sdk/openwrt-21.02/Makefile,other,3831,,f974a07b80fbf2fc06b3e6c640802c88fe13a62f745bcd0cf126778dca416564
selected_sources/sdk/openwrt-21.02/feeds.conf.default,other,357,,b7b06ee1e0d55bbc3bf2d794ba3389571f06abc806ac619489201334ee80028d
selected_sources/sdk/openwrt-21.02/include/kernel-version.mk,other,1584,,9904d8849cbff9bcecfb0eca9f31081d177d084878d6d1c70ad37988a2409555
selected_sources/sdk/openwrt-21.02/include/kernel.mk,other,9942,,004a8edbda6a413a092f8c01209f41ba857f0de7e3c613ecfc45b045cec95d1c
selected_sources/sdk/openwrt-21.02/include/package.mk,other,11335,,1924ccbee660d692b1492a645e42d775474e7092817a4b8b32462eff511ea2f1
selected_sources/sdk/openwrt-21.02/include/target.mk,other,10800,,f31914dd380bd4a02dffd0ac59747a8a7787044dffe72f630112c1dabddf859b
selected_sources/sdk/openwrt-21.02/include/version.mk,other,4094,,3766983d80c7a469fd3575f4d64760018d00fd65587e5d4a17e24568b8790f11
selected_sources/sdk/openwrt-21.02/package/backports/src/drivers/net/wireless/realtek/rtl8192fe/WlanHAL/Data/8197F/AGC_TAB_8197F.txt,wlan_backports_8197f,4383,rtl8197f,ed68df4f7c33be02d3a896afe74797ce4ad1642071d00c7c20d73ae93ade8d4b
selected_sources/sdk/openwrt-21.02/package/backports/src/drivers/net/wireless/realtek/rtl8192fe/WlanHAL/Data/8197F/AGC_TAB_8197F_hp.txt,wlan_backports_8197f,4619,,50cc7f4a1ff24e4cebf21a38dbcce679ebc59b4bb6d351e4534f346364bae95f
selected_sources/sdk/openwrt-21.02/package/backports/src/drivers/net/wireless/realtek/rtl8192fe/WlanHAL/Data/8197F/AGC_TAB_8197Fmp.txt,wlan_backports_8197f,4561,,f07025528b006887ab9ae102d87127c0d7ce6297941c8590c9da1d8537c91779
selected_sources/sdk/openwrt-21.02/package/backports/src/drivers/net/wireless/realtek/rtl8192fe/WlanHAL/Data/8197F/AGC_TAB_8197Fmp_hp.txt,wlan_backports_8197f,9109,,e6688d561621b38e67f3b582e10fcb9eb9e5175a9c9b7e7a82b4c6ce44223d88
selected_sources/sdk/openwrt-21.02/package/backports/src/drivers/net/wireless/realtek/rtl8192fe/WlanHAL/Data/8197F/MACDM_def_high_8197F.txt,wlan_backports_8197f,99,,f04fd0b0ec863000e30bfb6be16e0e9bda7d0ae89ce4667f5a5dd944c4d5a41a
selected_sources/sdk/openwrt-21.02/package/backports/src/drivers/net/wireless/realtek/rtl8192fe/WlanHAL/Data/8197F/MACDM_def_low_8197F.txt,wlan_backports_8197f,99,,f04fd0b0ec863000e30bfb6be16e0e9bda7d0ae89ce4667f5a5dd944c4d5a41a
selected_sources/sdk/openwrt-21.02/package/backports/src/drivers/net/wireless/realtek/rtl8192fe/WlanHAL/Data/8197F/MACDM_def_normal_8197F.txt,wlan_backports_8197f,99,,f04fd0b0ec863000e30bfb6be16e0e9bda7d0ae89ce4667f5a5dd944c4d5a41a
selected_sources/sdk/openwrt-21.02/package/backports/src/drivers/net/wireless/realtek/rtl8192fe/WlanHAL/Data/8197F/MACDM_gen_high_8197F.txt,wlan_backports_8197f,99,,c8a75f45b308b073f516b21bd9dd476248f77b37b1b21b5164b998853a2d59cc
selected_sources/sdk/openwrt-21.02/package/backports/src/drivers/net/wireless/realtek/rtl8192fe/WlanHAL/Data/8197F/MACDM_gen_low_8197F.txt,wlan_backports_8197f,99,,f04fd0b0ec863000e30bfb6be16e0e9bda7d0ae89ce4667f5a5dd944c4d5a41a
selected_sources/sdk/openwrt-21.02/package/backports/src/drivers/net/wireless/realtek/rtl8192fe/WlanHAL/Data/8197F/MACDM_gen_normal_8197F.txt,wlan_backports_8197f,99,,c8a75f45b308b073f516b21bd9dd476248f77b37b1b21b5164b998853a2d59cc
selected_sources/sdk/openwrt-21.02/package/backports/src/drivers/net/wireless/realtek/rtl8192fe/WlanHAL/Data/8197F/MACDM_state_criteria_8197F.txt,wlan_backports_8197f,700,,4753096fa2fafa2ad32406375b4f19f491c094e9854a37c11d63d11076b1c607
