file,RTL8197F_SOC,RTL8197F_VG_SOC,RTL_8197F_VG,RTL8197F,RTL_SWITCH_NEW_DESCRIPTOR,SPI_FLASH,SPI_NAND_FLASH,NAND_FLASH_BOOTING,MTD_NAND_RTK_DIE_ON_ECC,SW_8367R,SW_8367RB_VC,SW_8367SB,RTL_83XX_API_V1_4,RTL_MDC_H0_MDIO_G7,RTL_MDC_D1_MDIO_D7,RTL_MDC_D5_MDIO_D7,LINUX_IMAGE_OFFSET_START,LINUX_IMAGE_OFFSET_END,ROOT_IMAGE_OFFSET_START,ROOT_IMAGE_OFFSET_END,FLASH_NUMBER,BOOT_DEBUG_ENABLE
package/uboot/realtek/generic/def-rtl8197FS-VSx_8367rb-spi_nand-config,,,,y,,n,y,y,,y,,n,,,,,0x800000,900000,0xe00000,1000000,1,y
package/uboot/realtek/generic/def-rtl8197fb_8367rb_8bit_128MBx2-config,,,,y,,y,,,,y,,,,,,,0x10000,80000,0x100000,300000,1,y
package/uboot/realtek/generic/def-rtl8197fb_8367rb_ddr128M-config,,,,y,,y,,,,y,,,,,,,0x10000,80000,0x100000,300000,1,y
package/uboot/realtek/generic/def-rtl8197fb_spinand_8367rb_8bit_128MBx2-config,,,,y,,n,y,y,,y,,,,,,,0x800000,900000,0xe00000,1000000,1,y
package/uboot/realtek/generic/def-rtl8197fh_8367rb-config,y,n,,y,,y,,n,,y,,n,,y,n,,0x10000,80000,0x100000,300000,1,y
package/uboot/realtek/generic/def-rtl8197fh_vg_8367rb-config,n,y,y,y,y,y,,n,,y,,n,,,n,,0x10000,80000,0x100000,300000,1,y
package/uboot/realtek/generic/def-rtl8197fh_vg_8367rb_AC21-config,n,y,y,y,y,y,,n,,y,,n,,,n,,0x10000,80000,0x100000,300000,1,y
package/uboot/realtek/generic/def-rtl8197fh_vg_8367rb_AC8-config,n,y,y,y,y,y,,n,,y,,n,,y,n,,0x10000,80000,0x100000,300000,1,y
package/uboot/realtek/generic/def-rtl8197fh_vg_8367rb_vc-config,n,y,y,y,y,y,,n,,n,y,n,y,y,n,n,0x10000,80000,0x100000,300000,1,y
package/uboot/realtek/generic/def-rtl8197fh_vg_8367rb_vc-spi_nand-config,n,y,y,y,y,n,y,y,y,n,y,n,y,y,n,n,800000,900000,e00000,1000000,,y
package/uboot/realtek/generic/def-rtl8197fs_8367rb-config,,,,y,,y,,,,y,,,,,,,0x10000,80000,0x100000,300000,1,y
package/uboot/realtek/generic/def-rtl8197fs_vg_8367rb-config,n,y,y,y,y,y,,n,,y,,n,,,y,,0x10000,80000,0x100000,300000,1,y
package/uboot/realtek/generic/def-rtl8197fs_vg_8367rb-spi_nand_V672-config,n,y,y,y,y,n,y,y,y,y,,n,,n,y,,0x800000,900000,0xe00000,1000000,,y
package/uboot/realtek/generic/def-rtl8197fs_vg_8367rb_V670-config,n,y,y,y,y,y,,n,,y,,n,,,,,0x10000,80000,0x100000,300000,1,y
package/uboot/realtek/generic/def-rtl8197fs_vg_8367rb_V672-config,n,y,y,y,y,y,,n,,y,,n,,,y,,0x10000,80000,0x100000,300000,1,y
package/uboot/realtek/generic/def-rtl8197fs_vg_8367rb_vc-config,n,y,y,y,y,y,,n,,n,y,n,y,n,y,n,0x10000,80000,0x100000,300000,1,y
package/uboot/realtek/generic/def-rtl8197fs_vg_8367rb_vc-spi_nand-config,n,y,y,y,y,n,y,y,y,n,y,n,y,n,y,,0x800000,900000,0xe00000,1000000,,y
