subsystem	source_path_in_8197_all_SDKs	sha256	source_role	native_destination	status
rtl8197f-platform	8197/RT8197F_RTL8367RB_Gesamtpaket/MR62X_SDK_Paket/selected_sources/sdk/openwrt-21.02/target/linux/target/bsp/bspchip.h	6eb8022ea15ed9979f1aec352432228b6d2622dcca314c6ec984a2f769075ee2	SoC register map, IRQ lines, PCIe/USB/UART/SPI windows	target/linux/realtek/dts/rtl8197f.dtsi; native platform drivers	ported-native
rtl8197f-platform	8197/RT8197F_RTL8367RB_Gesamtpaket/MR62X_SDK_Paket/selected_sources/sdk/openwrt-21.02/target/linux/target/bsp/prom.c	aeaffc9c26b9c68beccf5e7a72830db22e5c50ac4ab8780c3343f13a968d79da	command line, RAM and machine bring-up	patches 301/320 and arch MIPS platform code	ported-native
rtl8197f-platform	8197/RT8197F_RTL8367RB_Gesamtpaket/MR62X_SDK_Paket/selected_sources/sdk/openwrt-21.02/target/linux/target/bsp/setup.c	b6bdbe3778104cb9735d8a1b32d1cad781d4781831d6089fa3a8e5e1e9f52d2c	restart, platform setup and SoC identification	patches 301/324 and restart handler	ported-native
rtl8197f-irq	8197/RT8197F_RTL8367RB_Gesamtpaket/MR62X_SDK_Paket/selected_sources/sdk/openwrt-21.02/target/linux/target/bsp/irq.c	40a12d319556312f5c99a051fa9647eec24477cbcdb77c844677ba52c345c06a	RTL8197F IRR values, CPU output lanes and BSP SWCORE route 4	rtl8197f.dtsi plus patch 315 parent-value correction	ported-native
rtl8197f-gpio	8197/RT8197F_RTL8367RB_Gesamtpaket/MR62X_SDK_Paket/selected_sources/sdk/openwrt-21.02/target/linux/target/bsp/gpio.c	de728f714bed14f53f5a2a29a59a2d578beae9c4f967ef3786fc20e4e5af9b83	64 GPIOs, H0/G7 SMI and H2 reset pin model	drivers/gpio/gpio-rtl8197f.c and RD05 DTS	ported-native
spi-nor	8197/RT8197F_RTL8367RB_Gesamtpaket/MR62X_SDK_Paket/selected_sources/sdk/openwrt-21.02/target/linux/target/bsp/spi.c	28f694e4830a8ef2c3b93046631ad60a8d589f0c2f813bf55bb17be3d0f8b0e6	SHEIPA controller setup and SPI mode	drivers/spi/spi-rtl8197f-sheipa.c	ported-native
spi-nor	8197/RT8197F_RTL8367RB_Gesamtpaket/MR62X_SDK_Paket/selected_sources/sdk/openwrt-21.02/package/uboot/realtek/generic/boot/flash/spi-sheipa.c	56161e926920acdb8051dc76756d76b38c559a6dbae17bdd7a3c9b8dff1d214e	command placement, FIFO access and WREN/RDSR behavior	drivers/mtd/maps/rtl8197f-spirom.c	ported-native
pcie-host	8197/RT8197F_RTL8367RB_Gesamtpaket/MR62X_SDK_Paket/selected_sources/sdk/openwrt-21.02/target/linux/target/bsp/pci.c	09c00003d5fb16a28803d6d8e5e79bdbf4357caaba6e11a5549dfdda4e7f7e02	clock/reset/MDIO/PERST/link sequence and apertures	drivers/pci/controller/pcie-rtl8197f.c	ported-native
pcie-host	8197/RT8197F_RTL8367RB_Gesamtpaket/MR62X_SDK_Paket/selected_sources/sdk/openwrt-21.02/target/linux/target/bsp/pci-ops.c	1356dcc19dd2bf8019ad6e04f57437f09408b0116361667d19563728bb10a7a5	single-slot endpoint config-window access through IPCFG	drivers/pci/controller/pcie-rtl8197f.c	ported-native
pcie-host	8197/RT8197F_RTL8367RB_Gesamtpaket/MR62X_SDK_Paket/selected_sources/sdk/openwrt-21.02/target/linux/target/bsp/pci-fixup.c	a3f95c9bc3d0e39b53838e478b8445f4a9a39e7c5d6033afc04167ba34f73e24	IRQ 5 mapping and optional payload setup	drivers/pci/controller/pcie-rtl8197f.c	ported-native-subset
rtl8197f-cpudma	8197/RT8197F_RTL8367RB_Gesamtpaket/MR62X_SDK_Paket/selected_sources/sdk/openwrt-21.02/target/linux/rtknet/drivers/net/rtl819x/rtl819x_swNic.c	deb9b4c9c61bb6a565dc36934a7a073715d5b65a4d52e4c5c075bf063f134058	8-dword descriptors and CPURPDCR0 current-descriptor pointer semantics	drivers/net/ethernet/rtl8197f_rtknet.c	ported-native
rtl8197f-cpudma	8197/RT8197F_RTL8367RB_Gesamtpaket/MR62X_SDK_Paket/selected_sources/sdk/openwrt-21.02/target/linux/rtknet/drivers/net/rtl819x/rtl_nic.c	dcd980ca52db31df5a7a30368c002ae825be334d73b0de9c82c89d38ad82bb37	CPU DMA start order, ring programming and direct-port descriptor path	drivers/net/ethernet/rtl8197f_rtknet.c	ported-native
rtl8197f-swcore	8197/RT8197F_RTL8367RB_Gesamtpaket/MR62X_SDK_Paket/selected_sources/sdk/openwrt-21.02/target/linux/rtknet/drivers/net/rtl819x/AsicDriver/rtl865x_asicL2.c	7a3c271a803cb482463d199cc5c4f5e302c6fc22a2b758aba2161425010fa7b1	P0 RGMII, router mode, CPU-tag RX/TX gates and SDK delays	drivers/net/ethernet/rtl8197f_rtknet.c	ported-native-subset
rtl8197f-swcore	8197/RT8197F_RTL8367RB_Gesamtpaket/MR62X_SDK_Paket/selected_sources/sdk/openwrt-21.02/package/uboot/realtek/generic/boot/rtl8196x/swCore.c	ce0d0c4d7750402aacd374176bcf4eef3c6cc3f0c47571cd4504cb613ff0c6cc	board reset/pinmux, P0-before-RTL83xx initialization order	rtl8197f_rd05_oem_switch_preinit.c and DTS	ported-native-subset
rtl8367d-dsa	8197/RT8197F_RTL8367RB_Gesamtpaket/MR62X_SDK_Paket/selected_sources/sdk/openwrt-21.02/target/linux/rtknet/drivers/net/rtl819x/rtl83xx_v1dot4/chip.c	888cf1a9489aa1a9cdbd1178a25da4374a71c0c39568b508db6a0bf19f419676	magic-register probe and chip ID 0x6642 selection	patch 325 realtek-smi RTL8367D variant	ported-native
rtl8367d-dsa	8197/RT8197F_RTL8367RB_Gesamtpaket/MR62X_SDK_Paket/selected_sources/sdk/openwrt-21.02/target/linux/rtknet/drivers/net/rtl819x/rtl83xx_v1dot4/dal/rtl8367d/dal_rtl8367d_switch.c	46b2073d14fbf0964b30f2a1089433b7f608b493f90a5b06b30fa420c5e60950	RTL8367D switch initialization contract	patch 325 native RTL8367D setup	ported-native
rtl8367d-dsa	8197/RT8197F_RTL8367RB_Gesamtpaket/MR62X_SDK_Paket/selected_sources/sdk/openwrt-21.02/target/linux/rtknet/drivers/net/rtl819x/rtl83xx_v1dot4/dal/rtl8367d/dal_rtl8367d_cpu.c	6c2209bcc001d8c0ce535d4ad5634724b3b41227b76f141d280309f745dd0eae	CPU port, insert mode, tag position and 4/8-byte format	Linux DSA rtl8_4 CPU tagging in patch 325	ported-native
rtl8367d-dsa	8197/RT8197F_RTL8367RB_Gesamtpaket/MR62X_SDK_Paket/selected_sources/sdk/openwrt-21.02/target/linux/rtknet/drivers/net/rtl819x/rtl83xx_v1dot4/dal/rtl8367d/dal_rtl8367d_port.c	a0300302adefb20f2af0c8175bd08054c69c0b95ad1bcde7490da45a0ead775a	EXT1 RGMII force link, SSC and TX/RX delays	patch 325 phylink/EXT1 setup	ported-native
rtl8367d-dsa	8197/RT8197F_RTL8367RB_Gesamtpaket/MR62X_SDK_Paket/selected_sources/sdk/openwrt-21.02/target/linux/rtknet/drivers/net/rtl819x/rtl83xx_v1dot4/dal/rtl8367d/dal_rtl8367d_vlan.c	ad803a3c9455bf8f2047013a916947b94a1e52f74d71be65e4c95260bb26298d	CVLAN/PVID/ingress/member programming	DSA VLAN callbacks plus RD05 bootstrap	ported-native
rtl8367d-dsa	8197/RT8197F_RTL8367RB_Gesamtpaket/MR62X_SDK_Paket/selected_sources/sdk/openwrt-21.02/target/linux/rtknet/drivers/net/rtl819x/rtl83xx_v1dot4/dal/rtl8367d/dal_rtl8367d_l2.c	968cc0c55d924a283a623746e4e0550494abd830663d8fcf30806549dde22536	L2 learning, flush and flood behavior	DSA bridge/FDB/flood callbacks	ported-native-subset
rtl8367d-dsa	8197/RT8197F_RTL8367RB_Gesamtpaket/MR62X_SDK_Paket/selected_sources/sdk/openwrt-21.02/target/linux/rtknet/drivers/net/rtl819x/rtl83xx_v1dot4/dal/rtl8367d/dal_rtl8367d_stat.c	e9f9666a99443eb38955575230ae19276da92e5ca0969bf01b3f058e15c0ef75	per-port MIB counter definitions	DSA ethtool statistics	ported-native
rtl8367d-dsa	8197/RT8197F_RTL8367RB_Gesamtpaket/MR62X_SDK_Paket/selected_sources/sdk/openwrt-21.02/target/linux/rtknet/drivers/net/rtl819x/rtl83xx_v1dot4/dal/rtl8367d/rtl8367d_asicdrv.c	e5942f04b83285a94b59dd5889deebd5846514e1f533d66a9a328e6b682baaca	SMI register read/write helpers and field operations	realtek-smi regmap backend	ported-native
rtl8367d-dsa	8197/RT8197F_RTL8367RB_Gesamtpaket/MR62X_SDK_Paket/selected_sources/sdk/openwrt-21.02/target/linux/rtknet/drivers/net/rtl819x/rtl83xx_v1dot4/dal/rtl8367d/rtl8367d_reg.h	2d1cbb61dfb8f771a536fabb24dac67cf874f0491ebb2e7d4dcd50fd16bdbfd2	RTL8367D register addresses including 0x13f9 EXT1 fine TXC, 0x13f7 sync FIFO and CPU7 CRC_SKIP	patch 325 register definitions and v37 calibration	ported-native-subset
rtl8367d-smi	8197/RT8197F_RTL8367RB_Gesamtpaket/MR62X_SDK_Paket/selected_sources/sdk/openwrt-21.02/target/linux/rtknet/drivers/net/rtl819x/rtl83xx_v1dot4/dal/rtl8367d/rtl8367d_smi.c	b1ed32d0f506c3d1ac7bf586771d61ef7482a45aa9456b3bef8fca9fc2c3723c	RTL8367D low-level SMI framing	upstream realtek-smi GPIO transport	mapped-to-upstream
rtl8812fe-wlan	8197/backports/src/drivers/net/wireless/realtek/rtl8192fe/Kconfig	77cb92afb77d2eaa033a64398c18ed3a7d835db46e73eacf588822a4e379723b	vendor rtl8192cd/fullmac options for internal WLAN and PCIe RTL8812FE	native PCI enumeration only; no false mac80211 conversion	source-inventoried-not-native
rtl8812fe-wlan	8197/backports/src/drivers/net/wireless/realtek/rtl8192fe/Makefile	6b2295b01f1741c509d319ceb565f23db15708687776afbf8903f9ed0f3748d4	complete vendor object graph, HALMAC and PHYDM linkage	RD05_WLAN_NATIVE_STATUS_V35.md	source-inventoried-not-native
rtl8812fe-wlan	8197/backports/src/drivers/net/wireless/realtek/rtl8192fe/WlanHAL/RTL88XX/RTL8812F/RTL8812FE/Hal8812FEGen.c	ffd28e0bd8edada0b957ea6b5eef5812e8e40554a5138cf58c244a52e08da79d	RTL8812FE PCIe HAL generation glue	RD05_WLAN_NATIVE_STATUS_V35.md	source-inventoried-not-native
