symbol	arguments	value_or_expression	source_line
RTL_RTK_CPUICR		0x000	47
RTL_RTK_CPURPDCR0		0x004	48
RTL_RTK_CPURMDCR0		0x01c	49
RTL_RTK_CPUTPDCR0		0x020	50
RTL_RTK_CPUIIMR		0x028	51
RTL_RTK_CPUIISR		0x02c	52
RTL_RTK_DMA_CR0		0x03c	53
RTL_RTK_DMA_CR1		0x040	54
RTL_RTK_DMA_CR2		0x044	55
RTL_RTK_CPUTPDCR2		0x060	56
RTL_RTK_CPUTPDCR3		0x064	57
RTL_RTK_DMA_CR3		0x068	58
RTL_RTK_TXRINGCR		0x078	59
RTL_RTK_CPUIMCR		0x080	60
RTL_RTK_DMA_CR4		0x0a0	61
RTL_RTK_CPUICR1		0x0a4	62
RTL_RTK_CPUQDM0		0x030	64
RTL_RTK_CPUQDM2		0x034	65
RTL_RTK_CPUQDM4		0x038	66
RTL_RTK_CPUQDM_CPU_RX_DESC_SHIFT		12	67
RTL_RTK_CPUQDM_EXT1_RX_DESC_SHIFT		8	68
RTL_RTK_CPUQDM_EXT2_RX_DESC_SHIFT		4	69
RTL_RTK_CPUQDM_EXT3_RX_DESC_SHIFT		0	70
RTL_RTK_CPUQDM_ALL_TO_RING0		0x00000000	71
RTL_RTK_CPUICR_TXCMD		BIT(31)	74
RTL_RTK_CPUICR_RXCMD		BIT(30)	75
RTL_RTK_CPUICR_BUSBURST_32		0	76
RTL_RTK_CPUICR_BUSBURST_64		BIT(28)	77
RTL_RTK_CPUICR_BUSBURST_128		(2 << 28)	78
RTL_RTK_CPUICR_MBUF_2048		(4 << 24)	79
RTL_RTK_CPUICR_TXFD		BIT(23)	80
RTL_RTK_CPUICR_SOFTRST		BIT(22)	81
RTL_RTK_CPUICR_STOPTX		BIT(21)	82
RTL_RTK_CPUICR_EXCLUDE_CRC		BIT(16)	83
RTL_RTK_CPUICR1_TXRX_DIV_LX		BIT(0)	86
RTL_RTK_CPUICR1_LE		BIT(1)	87
RTL_RTK_CPUICR1_TSO_ID_SEL		BIT(4)	88
RTL_RTK_CPUICR1_RX_GATHER		BIT(5)	89
RTL_RTK_CPUICR1_TX_GATHER		BIT(6)	90
RTL_RTK_CPUICR1_PKT_HDR_TYPE_MASK		(3 << 8)	91
RTL_RTK_CPUICR1_PKT_HDR_8198C_DEF		(0 << 8)	92
RTL_RTK_CPUICR1_PKT_HDR_SHORTCUT_LSO		(1 << 8)	93
RTL_RTK_CPUICR1_TXDESC_OFFSET		12	94
RTL_RTK_CPUICR1_TXDESC_MASK		(0x3f << RTL_RTK_CPUICR1_TXDESC_OFFSET)	95
RTL_RTK_CPUICR1_RXDESC_OFFSET		18	96
RTL_RTK_CPUICR1_RXDESC_MASK		(0x3f << RTL_RTK_CPUICR1_RXDESC_OFFSET)	97
RTL_RTK_INT_LINK_CHANGE		BIT(31)	100
RTL_RTK_INT_RX_ERR0		BIT(25)	101
RTL_RTK_INT_TX_ERR0		BIT(23)	102
RTL_RTK_INT_RX_RUNOUT0		BIT(17)	103
RTL_RTK_INT_MBUF_RUNOUT0		BIT(16)	104
RTL_RTK_INT_TX_DONE0		BIT(9)	105
RTL_RTK_INT_RX_DONE0		BIT(3)	106
RTL_RTK_INT_TX_ALL_DONE0		BIT(1)	107
RTL_RTK_INT_RX_DONE_ALL		(0x3f << 3)	108
RTL_RTK_INT_TX_ALL_DONE_ALL		(0x03 << 1)	109
RTL_RTK_INT_PKTHDR_RUNOUT_ALL		(0x3f << 17)	110
RTL_RTK_INT_MBUF_RUNOUT_ALL		BIT(16)	111
RTL_RTK_INT_RX_MASK		(RTL_RTK_INT_RX_DONE0 | \	113
RTL_RTK_INT_TX_MASK		(RTL_RTK_INT_TX_DONE0 | \	117
RTL_RTK_INT_MASK		(RTL_RTK_INT_RX_MASK | \	120
RTL_RTK_DMA_CR0_LOW_FIFO_MARK_MASK		(0xff << 8)	125
RTL_RTK_DMA_CR0_HIGH_FIFO_MARK_MASK		0xff	126
RTL_RTK_DMA_CR0_LOW_FIFO_MARK	(v)	(((v) & 0xff) << 8)	127
RTL_RTK_DMA_CR0_HIGH_FIFO_MARK	(v)	((v) & 0xff)	128
RTL_RTK_DMA_CR4_TX_RING0_TAIL_AWARE		BIT(0)	129
RTL_RTK_SWCORE_SWMISC_BASE		0x4200	137
RTL_RTK_SWMISC_SSIR		0x004	138
RTL_RTK_SWMISC_TRXRDY		BIT(0)	139
RTL_RTK_SWCORE_MACCR		0x4000	140
RTL_RTK_SWCORE_MACCR1		0x4058	141
RTL_RTK_SWCORE_PITCR		0x4100	142
RTL_RTK_SWCORE_P0GMIICR		0x414c	143
RTL_RTK_SWCORE_MACCTRL1		0x5100	144
RTL_RTK_MACCR_P0_GIGA_LINK		BIT(12)	145
RTL_RTK_MACCR1_P0_ROUTER_MODE		BIT(0)	146
RTL_RTK_MACCR1_RMD_TAG_MASK		GENMASK(7, 6)	147
RTL_RTK_PITCR_P0_EXT_INTERFACE		BIT(0)	148
RTL_RTK_P0GMIICR_CPU_TAG_RX		BIT(25)	149
RTL_RTK_P0GMIICR_CPU_TAG_TX		BIT(26)	150
RTL_RTK_P0GMIICR_GMAC_MASK		GENMASK(24, 23)	151
RTL_RTK_P0GMIICR_RGTXC_MASK		GENMASK(19, 18)	152
RTL_RTK_P0GMIICR_RGTXC	(_v)	(((_v) & 0x3U) << 18)	153
RTL_RTK_P0GMIICR_RGTXC_3		RTL_RTK_P0GMIICR_RGTXC(3)	154
RTL_RTK_P0GMIICR_TX_DELAY_MASK		BIT(4)	155
RTL_RTK_P0GMIICR_RX_DELAY_MASK		GENMASK(2, 0)	156
RTL_RTK_P0GMIICR_RX_DELAY_VG		6U	157
RTL_RTK_P0GMIICR_CONF_DONE		BIT(6)	158
RTL_RTK_MACCTRL1_CMAC_CLK_SEL		BIT(0)	159
RTL_RTK_MACCTRL1_CMAC_LATPKT_EN		BIT(5)	160
RTL_RTK_MACCTRL1_CMAC_LATPKT_TYPE		BIT(6)	161
RTL_RTK_SYSTEM_SYS_CLK_MAG		0x010	162
RTL_RTK_SYSTEM_PAD_CTRL_1		0x850	163
RTL_RTK_SYSTEM_GIMR		0x3000	164
RTL_RTK_PAD_P0_RGMII_DN_SHIFT		29	165
RTL_RTK_PAD_P0_RGMII_DN_MASK		GENMASK(31, 29)	166
RTL_RTK_PAD_P0_RGMII_DP_SHIFT		26	167
RTL_RTK_PAD_P0_RGMII_DP_MASK		GENMASK(28, 26)	168
RTL_RTK_PAD_P0_RGMII_MODE		BIT(25)	169
RTL_RTK_PAD_P0_TX_E2		BIT(22)	170
RTL_RTK_PAD_P0_VG_BIT21		BIT(21)	171
RTL_RTK_PAD_P0_DRIVE_VG		6U	172
RTL_RTK_SYSTEM_GISR		0x3004	173
RTL_RTK_GIMR_BSP_SW_IE		BIT(15)	174
RTL_RTK_RD05_PRIV_RESEED		(SIOCDEVPRIVATE + 0)	175
RTL_RTK_RD05_PRIV_RXSTART		(SIOCDEVPRIVATE + 1)	176
RTL_RTK_RD05_PRIV_VENDOR_SIDE		(SIOCDEVPRIVATE + 2)	177
RTL_RTK_SYS_SW_CLK_ENABLE		BIT(9)	178
RTL_RTK_SYS_CLK_ACTIVE_SWCORE		BIT(11)	179
RTL_RTK_SYS_CLK_ACTIVE_LX1_ARB		BIT(13)	180
RTL_RTK_SYS_CLK_ACTIVE_LX1_CLK		BIT(12)	181
RTL_RTK_SYS_CLK_ACTIVE_LX2_ARB		BIT(20)	182
RTL_RTK_SYS_CLK_ACTIVE_LX2_CLK		BIT(19)	183
RTL_RTK_ACL_TABLE_ENTRY0_PHYS		0x1b0c0000	184
RTL_RTK_SWCORE_TMRCR		0x6300	195
RTL_RTK_SWCORE_PPMAR		0x4010	196
RTL_RTK_SWCORE_PATP	(_p)	(0x4014 + ((_p) * 4))	197
RTL_RTK_SWCORE_PCRP	(_p)	(0x4104 + ((_p) * 4))	198
RTL_RTK_SWCORE_RMACR		0x4408	199
RTL_RTK_SWCORE_ALECR		0x440c	200
RTL_RTK_SWCORE_SBFCR0		0x4500	201
RTL_RTK_SWCORE_SBFCR1		0x4504	202
RTL_RTK_SWCORE_SBFCR2		0x4508	203
RTL_RTK_SWCORE_PBFCR	(_p)	(0x450c + ((_p) * 4))	204
RTL_RTK_SWCORE_PQPLGR		0x45d8	205
RTL_RTK_SWCORE_QRR		0x45dc	206
