family	symbol	arguments	kind	raw_value	numeric_value_decimal	source_line
C	_RTL8367C_REG_H_		REGISTER			2
C	RTL8367C_REG_PORT0_CGST_HALF_CFG		REGISTER	0x0000	0	10
C	RTL8367C_PORT0_CGST_HALF_CFG_CONGESTION_TIME_OFFSET		OFFSET_SHIFT	4	4	11
C	RTL8367C_PORT0_CGST_HALF_CFG_CONGESTION_TIME_MASK		MASK	0xF0	240	12
C	RTL8367C_PORT0_CGST_HALF_CFG_CONGESTION_SUSTAIN_TIME_OFFSET		OFFSET_SHIFT	0	0	13
C	RTL8367C_PORT0_CGST_HALF_CFG_CONGESTION_SUSTAIN_TIME_MASK		MASK	0xF	15	14
C	RTL8367C_REG_PKTGEN_PORT0_CTRL		REGISTER	0x0001	1	16
C	RTL8367C_PKTGEN_PORT0_CTRL_STATUS_OFFSET		OFFSET_SHIFT	15	15	17
C	RTL8367C_PKTGEN_PORT0_CTRL_STATUS_MASK		MASK	0x8000	32768	18
C	RTL8367C_PKTGEN_PORT0_CTRL_PKTGEN_STS_OFFSET		OFFSET_SHIFT	13	13	19
C	RTL8367C_PKTGEN_PORT0_CTRL_PKTGEN_STS_MASK		MASK	0x2000	8192	20
C	RTL8367C_PKTGEN_PORT0_CTRL_CRC_NO_ERROR_OFFSET		OFFSET_SHIFT	4	4	21
C	RTL8367C_PKTGEN_PORT0_CTRL_CRC_NO_ERROR_MASK		MASK	0x10	16	22
C	RTL8367C_PKTGEN_PORT0_CTRL_CMD_START_OFFSET		OFFSET_SHIFT	0	0	23
C	RTL8367C_PKTGEN_PORT0_CTRL_CMD_START_MASK		MASK	0x1	1	24
C	RTL8367C_REG_TX_ERR_CNT_PORT0		REGISTER	0x0002	2	26
C	RTL8367C_TX_ERR_CNT_PORT0_OFFSET		OFFSET_SHIFT	0	0	27
C	RTL8367C_TX_ERR_CNT_PORT0_MASK		MASK	0x7	7	28
C	RTL8367C_REG_PKTGEN_PORT0_DA0		REGISTER	0x0003	3	30
C	RTL8367C_REG_PKTGEN_PORT0_DA1		REGISTER	0x0004	4	32
C	RTL8367C_REG_PKTGEN_PORT0_DA2		REGISTER	0x0005	5	34
C	RTL8367C_REG_PKTGEN_PORT0_SA0		REGISTER	0x0006	6	36
C	RTL8367C_REG_PKTGEN_PORT0_SA1		REGISTER	0x0007	7	38
C	RTL8367C_REG_PKTGEN_PORT0_SA2		REGISTER	0x0008	8	40
C	RTL8367C_REG_PKTGEN_PORT0_COUNTER0		REGISTER	0x0009	9	42
C	RTL8367C_REG_PKTGEN_PORT0_COUNTER1		REGISTER	0x000a	10	44
C	RTL8367C_PKTGEN_PORT0_COUNTER1_OFFSET		OFFSET_SHIFT	0	0	45
C	RTL8367C_PKTGEN_PORT0_COUNTER1_MASK		MASK	0xFF	255	46
C	RTL8367C_REG_PKTGEN_PORT0_TX_LENGTH		REGISTER	0x000b	11	48
C	RTL8367C_PKTGEN_PORT0_TX_LENGTH_OFFSET		OFFSET_SHIFT	0	0	49
C	RTL8367C_PKTGEN_PORT0_TX_LENGTH_MASK		MASK	0x3FFF	16383	50
C	RTL8367C_REG_PKTGEN_PORT0_TIMER		REGISTER	0x000d	13	52
C	RTL8367C_PKTGEN_PORT0_TIMER_TIMER_OFFSET		OFFSET_SHIFT	4	4	53
C	RTL8367C_PKTGEN_PORT0_TIMER_TIMER_MASK		MASK	0xF0	240	54
C	RTL8367C_PKTGEN_PORT0_TIMER_RX_DMA_ERR_FLAG_OFFSET		OFFSET_SHIFT	3	3	55
C	RTL8367C_PKTGEN_PORT0_TIMER_RX_DMA_ERR_FLAG_MASK		MASK	0x8	8	56
C	RTL8367C_REG_PORT0_MISC_CFG		REGISTER	0x000e	14	58
C	RTL8367C_PORT0_MISC_CFG_SMALL_TAG_IPG_OFFSET		OFFSET_SHIFT	15	15	59
C	RTL8367C_PORT0_MISC_CFG_SMALL_TAG_IPG_MASK		MASK	0x8000	32768	60
