family	symbol	arguments	kind	raw_value	numeric_value_decimal	source_line
D	_RTL8367D_REG_H_		REGISTER			2
D	RTL8367D_REG_PORT0_CGST_HALF_CFG		REGISTER	0x0000	0	10
D	RTL8367D_PORT0_CGST_HALF_CFG_CONGESTION_TIME_OFFSET		OFFSET_SHIFT	4	4	11
D	RTL8367D_PORT0_CGST_HALF_CFG_CONGESTION_TIME_MASK		MASK	0xF0	240	12
D	RTL8367D_PORT0_CGST_HALF_CFG_CONGESTION_SUSTAIN_TIME_OFFSET		OFFSET_SHIFT	0	0	13
D	RTL8367D_PORT0_CGST_HALF_CFG_CONGESTION_SUSTAIN_TIME_MASK		MASK	0xF	15	14
D	RTL8367D_REG_PKTGEN_PORT0_TIMER		REGISTER	0x000d	13	16
D	RTL8367D_PKTGEN_PORT0_TIMER_TIMER_OFFSET		OFFSET_SHIFT	4	4	17
D	RTL8367D_PKTGEN_PORT0_TIMER_TIMER_MASK		MASK	0xF0	240	18
D	RTL8367D_PKTGEN_PORT0_TIMER_RX_DMA_ERR_FLAG_OFFSET		OFFSET_SHIFT	3	3	19
D	RTL8367D_PKTGEN_PORT0_TIMER_RX_DMA_ERR_FLAG_MASK		MASK	0x8	8	20
D	RTL8367D_REG_PORT0_MISC_CFG		REGISTER	0x000e	14	22
D	RTL8367D_PORT0_MISC_CFG_SMALL_TAG_IPG_OFFSET		OFFSET_SHIFT	15	15	23
D	RTL8367D_PORT0_MISC_CFG_SMALL_TAG_IPG_MASK		MASK	0x8000	32768	24
D	RTL8367D_PORT0_MISC_CFG_TX_ITFSP_MODE_OFFSET		OFFSET_SHIFT	14	14	25
D	RTL8367D_PORT0_MISC_CFG_TX_ITFSP_MODE_MASK		MASK	0x4000	16384	26
D	RTL8367D_PORT0_MISC_CFG_DOT1Q_REMARK_ENABLE_OFFSET		OFFSET_SHIFT	12	12	27
D	RTL8367D_PORT0_MISC_CFG_DOT1Q_REMARK_ENABLE_MASK		MASK	0x1000	4096	28
D	RTL8367D_PORT0_MISC_CFG_INGRESSBW_FLOWCTRL_OFFSET		OFFSET_SHIFT	11	11	29
D	RTL8367D_PORT0_MISC_CFG_INGRESSBW_FLOWCTRL_MASK		MASK	0x800	2048	30
D	RTL8367D_PORT0_MISC_CFG_INGRESSBW_IFG_OFFSET		OFFSET_SHIFT	10	10	31
D	RTL8367D_PORT0_MISC_CFG_INGRESSBW_IFG_MASK		MASK	0x400	1024	32
D	RTL8367D_PORT0_MISC_CFG_RX_SPC_OFFSET		OFFSET_SHIFT	9	9	33
D	RTL8367D_PORT0_MISC_CFG_RX_SPC_MASK		MASK	0x200	512	34
D	RTL8367D_PORT0_MISC_CFG_CRC_SKIP_OFFSET		OFFSET_SHIFT	8	8	35
D	RTL8367D_PORT0_MISC_CFG_CRC_SKIP_MASK		MASK	0x100	256	36
D	RTL8367D_PORT0_MISC_CFG_MAC_LOOPBACK_OFFSET		OFFSET_SHIFT	6	6	37
D	RTL8367D_PORT0_MISC_CFG_MAC_LOOPBACK_MASK		MASK	0x40	64	38
D	RTL8367D_PORT0_MISC_CFG_VLAN_EGRESS_MODE_OFFSET		OFFSET_SHIFT	4	4	39
D	RTL8367D_PORT0_MISC_CFG_VLAN_EGRESS_MODE_MASK		MASK	0x30	48	40
D	RTL8367D_PORT0_MISC_CFG_CONGESTION_SUSTAIN_TIME_OFFSET		OFFSET_SHIFT	0	0	41
D	RTL8367D_PORT0_MISC_CFG_CONGESTION_SUSTAIN_TIME_MASK		MASK	0xF	15	42
D	RTL8367D_REG_INGRESSBW_PORT0_RATE_CTRL0		REGISTER	0x000f	15	44
D	RTL8367D_REG_INGRESSBW_PORT0_RATE_CTRL1		REGISTER	0x0010	16	46
D	RTL8367D_INGRESSBW_PORT0_RATE_CTRL1_BYPASS_ABILITY_LOCK_OFFSET		OFFSET_SHIFT	3	3	47
D	RTL8367D_INGRESSBW_PORT0_RATE_CTRL1_BYPASS_ABILITY_LOCK_MASK		MASK	0x8	8	48
D	RTL8367D_INGRESSBW_PORT0_RATE_CTRL1_INGRESSBW_RATE16_OFFSET		OFFSET_SHIFT	0	0	49
D	RTL8367D_INGRESSBW_PORT0_RATE_CTRL1_INGRESSBW_RATE16_MASK		MASK	0x7	7	50
D	RTL8367D_REG_PORT0_FORCE_RATE0		REGISTER	0x0011	17	52
D	RTL8367D_REG_PORT0_FORCE_RATE1		REGISTER	0x0012	18	54
D	RTL8367D_REG_PORT0_CURENT_RATE0		REGISTER	0x0013	19	56
D	RTL8367D_REG_PORT0_CURENT_RATE1		REGISTER	0x0014	20	58
D	RTL8367D_REG_PORT0_PAGE_COUNTER		REGISTER	0x0015	21	60
D	RTL8367D_PORT0_PAGE_COUNTER_OFFSET		OFFSET_SHIFT	0	0	61
D	RTL8367D_PORT0_PAGE_COUNTER_MASK		MASK	0x7F	127	62
D	RTL8367D_REG_PAGEMETER_PORT0_CTRL0		REGISTER	0x0016	22	64
D	RTL8367D_REG_PAGEMETER_PORT0_CTRL1		REGISTER	0x0017	23	66
D	RTL8367D_REG_PORT0_EEECFG		REGISTER	0x0018	24	68
D	RTL8367D_PORT0_EEECFG_EEE_PORT_TX_EN_OFFSET		OFFSET_SHIFT	9	9	69
D	RTL8367D_PORT0_EEECFG_EEE_PORT_TX_EN_MASK		MASK	0x200	512	70
D	RTL8367D_PORT0_EEECFG_EEE_PORT_RX_EN_OFFSET		OFFSET_SHIFT	8	8	71
D	RTL8367D_PORT0_EEECFG_EEE_PORT_RX_EN_MASK		MASK	0x100	256	72
D	RTL8367D_PORT0_EEECFG_EEE_LPI_OFFSET		OFFSET_SHIFT	5	5	73
D	RTL8367D_PORT0_EEECFG_EEE_LPI_MASK		MASK	0x20	32	74
D	RTL8367D_PORT0_EEECFG_EEE_TX_STS_OFFSET		OFFSET_SHIFT	4	4	75
D	RTL8367D_PORT0_EEECFG_EEE_TX_STS_MASK		MASK	0x10	16	76
D	RTL8367D_PORT0_EEECFG_EEE_RX_STS_OFFSET		OFFSET_SHIFT	3	3	77
D	RTL8367D_PORT0_EEECFG_EEE_RX_STS_MASK		MASK	0x8	8	78
D	RTL8367D_PORT0_EEECFG_EEE_PAUSE_INDICATOR_OFFSET		OFFSET_SHIFT	2	2	79
D	RTL8367D_PORT0_EEECFG_EEE_PAUSE_INDICATOR_MASK		MASK	0x4	4	80
D	RTL8367D_REG_PORT0_EEETXMTR		REGISTER	0x0019	25	82
D	RTL8367D_REG_PORT0_EEERXMTR		REGISTER	0x001a	26	84
D	RTL8367D_REG_PORT0_DUMMY		REGISTER	0x001e	30	86
D	RTL8367D_REG_P0_MSIC1		REGISTER	0x001f	31	88
D	RTL8367D_P0_MSIC1_OFFSET		OFFSET_SHIFT	0	0	89
D	RTL8367D_P0_MSIC1_MASK		MASK	0x1	1	90
D	RTL8367D_REG_PORT1_CGST_HALF_CFG		REGISTER	0x0020	32	92
D	RTL8367D_PORT1_CGST_HALF_CFG_CONGESTION_TIME_OFFSET		OFFSET_SHIFT	4	4	93
D	RTL8367D_PORT1_CGST_HALF_CFG_CONGESTION_TIME_MASK		MASK	0xF0	240	94
D	RTL8367D_PORT1_CGST_HALF_CFG_CONGESTION_SUSTAIN_TIME_OFFSET		OFFSET_SHIFT	0	0	95
D	RTL8367D_PORT1_CGST_HALF_CFG_CONGESTION_SUSTAIN_TIME_MASK		MASK	0xF	15	96
D	RTL8367D_REG_PKTGEN_PORT1_TIMER		REGISTER	0x002d	45	98
D	RTL8367D_PKTGEN_PORT1_TIMER_TIMER_OFFSET		OFFSET_SHIFT	4	4	99
D	RTL8367D_PKTGEN_PORT1_TIMER_TIMER_MASK		MASK	0xF0	240	100
D	RTL8367D_PKTGEN_PORT1_TIMER_RX_DMA_ERR_FLAG_OFFSET		OFFSET_SHIFT	3	3	101
D	RTL8367D_PKTGEN_PORT1_TIMER_RX_DMA_ERR_FLAG_MASK		MASK	0x8	8	102
D	RTL8367D_REG_PORT1_MISC_CFG		REGISTER	0x002e	46	104
D	RTL8367D_PORT1_MISC_CFG_SMALL_TAG_IPG_OFFSET		OFFSET_SHIFT	15	15	105
D	RTL8367D_PORT1_MISC_CFG_SMALL_TAG_IPG_MASK		MASK	0x8000	32768	106
D	RTL8367D_PORT1_MISC_CFG_TX_ITFSP_MODE_OFFSET		OFFSET_SHIFT	14	14	107
D	RTL8367D_PORT1_MISC_CFG_TX_ITFSP_MODE_MASK		MASK	0x4000	16384	108
D	RTL8367D_PORT1_MISC_CFG_DOT1Q_REMARK_ENABLE_OFFSET		OFFSET_SHIFT	12	12	109
D	RTL8367D_PORT1_MISC_CFG_DOT1Q_REMARK_ENABLE_MASK		MASK	0x1000	4096	110
D	RTL8367D_PORT1_MISC_CFG_INGRESSBW_FLOWCTRL_OFFSET		OFFSET_SHIFT	11	11	111
D	RTL8367D_PORT1_MISC_CFG_INGRESSBW_FLOWCTRL_MASK		MASK	0x800	2048	112
D	RTL8367D_PORT1_MISC_CFG_INGRESSBW_IFG_OFFSET		OFFSET_SHIFT	10	10	113
D	RTL8367D_PORT1_MISC_CFG_INGRESSBW_IFG_MASK		MASK	0x400	1024	114
D	RTL8367D_PORT1_MISC_CFG_RX_SPC_OFFSET		OFFSET_SHIFT	9	9	115
D	RTL8367D_PORT1_MISC_CFG_RX_SPC_MASK		MASK	0x200	512	116
D	RTL8367D_PORT1_MISC_CFG_CRC_SKIP_OFFSET		OFFSET_SHIFT	8	8	117
D	RTL8367D_PORT1_MISC_CFG_CRC_SKIP_MASK		MASK	0x100	256	118
D	RTL8367D_PORT1_MISC_CFG_MAC_LOOPBACK_OFFSET		OFFSET_SHIFT	6	6	119
D	RTL8367D_PORT1_MISC_CFG_MAC_LOOPBACK_MASK		MASK	0x40	64	120
D	RTL8367D_PORT1_MISC_CFG_VLAN_EGRESS_MODE_OFFSET		OFFSET_SHIFT	4	4	121
D	RTL8367D_PORT1_MISC_CFG_VLAN_EGRESS_MODE_MASK		MASK	0x30	48	122
D	RTL8367D_PORT1_MISC_CFG_CONGESTION_SUSTAIN_TIME_OFFSET		OFFSET_SHIFT	0	0	123
D	RTL8367D_PORT1_MISC_CFG_CONGESTION_SUSTAIN_TIME_MASK		MASK	0xF	15	124
D	RTL8367D_REG_INGRESSBW_PORT1_RATE_CTRL0		REGISTER	0x002f	47	126
D	RTL8367D_REG_INGRESSBW_PORT1_RATE_CTRL1		REGISTER	0x0030	48	128
D	RTL8367D_INGRESSBW_PORT1_RATE_CTRL1_BYPASS_ABILITY_LOCK_OFFSET		OFFSET_SHIFT	3	3	129
D	RTL8367D_INGRESSBW_PORT1_RATE_CTRL1_BYPASS_ABILITY_LOCK_MASK		MASK	0x8	8	130
D	RTL8367D_INGRESSBW_PORT1_RATE_CTRL1_INGRESSBW_RATE16_OFFSET		OFFSET_SHIFT	0	0	131
D	RTL8367D_INGRESSBW_PORT1_RATE_CTRL1_INGRESSBW_RATE16_MASK		MASK	0x7	7	132
D	RTL8367D_REG_PORT1_FORCE_RATE0		REGISTER	0x0031	49	134
D	RTL8367D_REG_PORT1_FORCE_RATE1		REGISTER	0x0032	50	136
D	RTL8367D_REG_PORT1_CURENT_RATE0		REGISTER	0x0033	51	138
D	RTL8367D_REG_PORT1_CURENT_RATE1		REGISTER	0x0034	52	140
D	RTL8367D_REG_PORT1_PAGE_COUNTER		REGISTER	0x0035	53	142
D	RTL8367D_PORT1_PAGE_COUNTER_OFFSET		OFFSET_SHIFT	0	0	143
D	RTL8367D_PORT1_PAGE_COUNTER_MASK		MASK	0x7F	127	144
D	RTL8367D_REG_PAGEMETER_PORT1_CTRL0		REGISTER	0x0036	54	146
D	RTL8367D_REG_PAGEMETER_PORT1_CTRL1		REGISTER	0x0037	55	148
D	RTL8367D_REG_PORT1_EEECFG		REGISTER	0x0038	56	150
D	RTL8367D_PORT1_EEECFG_EEE_PORT_TX_EN_OFFSET		OFFSET_SHIFT	9	9	151
D	RTL8367D_PORT1_EEECFG_EEE_PORT_TX_EN_MASK		MASK	0x200	512	152
D	RTL8367D_PORT1_EEECFG_EEE_PORT_RX_EN_OFFSET		OFFSET_SHIFT	8	8	153
D	RTL8367D_PORT1_EEECFG_EEE_PORT_RX_EN_MASK		MASK	0x100	256	154
D	RTL8367D_PORT1_EEECFG_EEE_LPI_OFFSET		OFFSET_SHIFT	5	5	155
D	RTL8367D_PORT1_EEECFG_EEE_LPI_MASK		MASK	0x20	32	156
D	RTL8367D_PORT1_EEECFG_EEE_TX_STS_OFFSET		OFFSET_SHIFT	4	4	157
D	RTL8367D_PORT1_EEECFG_EEE_TX_STS_MASK		MASK	0x10	16	158
D	RTL8367D_PORT1_EEECFG_EEE_RX_STS_OFFSET		OFFSET_SHIFT	3	3	159
D	RTL8367D_PORT1_EEECFG_EEE_RX_STS_MASK		MASK	0x8	8	160
D	RTL8367D_PORT1_EEECFG_EEE_PAUSE_INDICATOR_OFFSET		OFFSET_SHIFT	2	2	161
D	RTL8367D_PORT1_EEECFG_EEE_PAUSE_INDICATOR_MASK		MASK	0x4	4	162
D	RTL8367D_REG_PORT1_EEETXMTR		REGISTER	0x0039	57	164
D	RTL8367D_REG_PORT1_EEERXMTR		REGISTER	0x003a	58	166
D	RTL8367D_REG_PORT1_DUMMY		REGISTER	0x003e	62	168
D	RTL8367D_REG_P1_MSIC1		REGISTER	0x003f	63	170
D	RTL8367D_P1_MSIC1_OFFSET		OFFSET_SHIFT	0	0	171
D	RTL8367D_P1_MSIC1_MASK		MASK	0x1	1	172
D	RTL8367D_REG_PORT2_CGST_HALF_CFG		REGISTER	0x0040	64	174
D	RTL8367D_PORT2_CGST_HALF_CFG_CONGESTION_TIME_OFFSET		OFFSET_SHIFT	4	4	175
D	RTL8367D_PORT2_CGST_HALF_CFG_CONGESTION_TIME_MASK		MASK	0xF0	240	176
D	RTL8367D_PORT2_CGST_HALF_CFG_CONGESTION_SUSTAIN_TIME_OFFSET		OFFSET_SHIFT	0	0	177
D	RTL8367D_PORT2_CGST_HALF_CFG_CONGESTION_SUSTAIN_TIME_MASK		MASK	0xF	15	178
D	RTL8367D_REG_PKTGEN_PORT2_TIMER		REGISTER	0x004d	77	180
D	RTL8367D_PKTGEN_PORT2_TIMER_TIMER_OFFSET		OFFSET_SHIFT	4	4	181
D	RTL8367D_PKTGEN_PORT2_TIMER_TIMER_MASK		MASK	0xF0	240	182
D	RTL8367D_PKTGEN_PORT2_TIMER_RX_DMA_ERR_FLAG_OFFSET		OFFSET_SHIFT	3	3	183
D	RTL8367D_PKTGEN_PORT2_TIMER_RX_DMA_ERR_FLAG_MASK		MASK	0x8	8	184
