path	type	bytes	sha256	link_target	component	port_status	linux_6_6_replacement	build_policy	notes
build/Makefile.app.diag	file	7104	c57f94b24f019c8e3c9c42c85099c4a47ed6b6528769809e376cc55f9c5b98cb		legacy build system	build-support-retained	OpenWrt package/target build system	not-built	Original build metadata is retained but is not sourced by OpenWrt.
build/Makefile.ecos	file	11358	1600bbbad1e414666d32e6822b006a4dde2f3fced689d8598777de2acf3e55a5		legacy build system	build-support-retained	OpenWrt package/target build system	not-built	Original build metadata is retained but is not sourced by OpenWrt.
build/Makefile.linux.drivers	file	733	d101c30eb9d02d7e5b13def2aed1d297dc5656767baa6483dec865bfd68850c0		legacy build system	build-support-retained	OpenWrt package/target build system	not-built	Original build metadata is retained but is not sourced by OpenWrt.
build/Makefile.linux.kernel.rtcore	file	3968	2e0b55303ca131912d72e480c4ac0d9b8121b7df94bcc997ee9835fc70906e65		legacy build system	build-support-retained	OpenWrt package/target build system	not-built	Original build metadata is retained but is not sourced by OpenWrt.
build/Makefile.linux.kernel.rtdrv	file	919	37bb4e86ec84b2e4881b01c6dad18c61abe03cd39282c26ff7a6daa0f5d08816		legacy build system	build-support-retained	OpenWrt package/target build system	not-built	Original build metadata is retained but is not sourced by OpenWrt.
build/Makefile.linux.kernel.rtk	file	9067	dd4afa9de706748c5ee87493ccd868a333e64a712c40d9ea64dafe2e185361fc		legacy build system	build-support-retained	OpenWrt package/target build system	not-built	Original build metadata is retained but is not sourced by OpenWrt.
build/Makefile.linux.kernel.rtnic	file	639	93c1a5ca5edd762f752a3195acadf0e91d2e58157edb0cee5c63f1eb94d0b147		legacy build system	build-support-retained	OpenWrt package/target build system	not-built	Original build metadata is retained but is not sourced by OpenWrt.
build/Makefile.linux.kernel.ut	file	2525	ed594e9f7783a5ecd68e110ddef2c8987f3cd2f00434f3dfba228cbd488d969d		legacy build system	build-support-retained	OpenWrt package/target build system	not-built	Original build metadata is retained but is not sourced by OpenWrt.
build/Makefile.linux.net	file	516	2526725ca329298c7cfd50bbb18588bfe463021e424e5456ee99b55d94826e46		legacy build system	build-support-retained	OpenWrt package/target build system	not-built	Original build metadata is retained but is not sourced by OpenWrt.
build/Makefile.linux.user	file	832	7d0824e7cbf1e94ebf819bb742bc130710f5bc138248720e1d7c86b9ae7b9e0b		legacy build system	build-support-retained	OpenWrt package/target build system	not-built	Original build metadata is retained but is not sourced by OpenWrt.
build/Makefile.linux.user.rtcore	file	2619	baf1faac6e25a9a5b179ed7534c080907f75244f44d5b5c8c1b6497707e73620		legacy build system	build-support-retained	OpenWrt package/target build system	not-built	Original build metadata is retained but is not sourced by OpenWrt.
build/Makefile.linux.user.rtk	file	8446	f6448b1a68394b42be0ac5fe631cefbf287386f526919e58f448ff456215b3f0		legacy build system	build-support-retained	OpenWrt package/target build system	not-built	Original build metadata is retained but is not sourced by OpenWrt.
build/Makefile.linux.user.rtusr	file	1583	75e8ce24dadc87d674101aa6ffde9664568f9c14643c3c8409f13280a661410f		legacy build system	build-support-retained	OpenWrt package/target build system	not-built	Original build metadata is retained but is not sourced by OpenWrt.
build/Makefile.linux.user.ut	file	2413	5b897faf5996b09ec57454b36f4b0cabd4ff1608acaf4535e992434666c3720a		legacy build system	build-support-retained	OpenWrt package/target build system	not-built	Original build metadata is retained but is not sourced by OpenWrt.
config/Configure.help	file	7967	64aa767d302644d11d52d81f100f0c021852592680f6c727d9b1565ba89717dd		legacy build system	build-support-retained	OpenWrt package/target build system	not-built	Original build metadata is retained but is not sourced by OpenWrt.
config/Makefile	file	2081	a8817c9eb5b14dae7a5af18f2fc1698bd4d22fc28cb95f291fa4111481c1d0d7		legacy build system	build-support-retained	OpenWrt package/target build system	not-built	Original build metadata is retained but is not sourced by OpenWrt.
config/config.in	file	12577	ba212a4ba4e324598c83e8bcb3d928eb87972726395e38caa56e5d02e70e5923		legacy build system	build-support-retained	OpenWrt package/target build system	not-built	Original build metadata is retained but is not sourced by OpenWrt.
config/defconfig	file	2858	acd040f93f74ba1422489e023e1d8b53d424b4caa4f4e57361b8080b7a23728a		legacy build system	build-support-retained	OpenWrt package/target build system	not-built	Original build metadata is retained but is not sourced by OpenWrt.
