Archive,Area,Scope,Class,ComponentPath,Files,Directories,SizeMiB,TopExtensions,Chips/Keywords
GPL_AX12v1,Ethernet/Switch,generic/support tree,Other matched support data,GPL_AX12v1/Iplatform/openwrt/package/swconfig/src,5,1,0.03,".c:3, Makefile:1, .h:1",SWCONFIG
GPL_AX12v1,Ethernet/Switch,generic/support tree,Other matched support data,GPL_AX12v1/Iplatform/openwrt/package/admswconfig/files,2,1,0.0,"[no ext]:1, .sh:1",SWCONFIG
GPL_AX12v1,Ethernet/Switch,generic/support tree,Other matched support data,GPL_AX12v1/Iplatform/openwrt/package/admswconfig,1,1,0.0,Makefile:1,SWCONFIG
GPL_AX12v1,Ethernet/Switch,generic/support tree,Other matched support data,GPL_AX12v1/Iplatform/openwrt/package/admswconfig/patches,1,1,0.0,.patch:1,SWCONFIG
GPL_AX12v1,Ethernet/Switch,generic/support tree,Other matched support data,GPL_AX12v1/Iplatform/openwrt/package/swconfig,1,1,0.0,Makefile:1,SWCONFIG
GPL_AX12v1,Ethernet/Switch,generic/support tree,Other matched support data,GPL_AX12v1/Iplatform/openwrt/package/swconfig/files,1,1,0.0,.sh:1,SWCONFIG
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Realtek RTL83xx/RTL8367/RTL8325 switch driver data,GPL_AX12v1/rtl8197/rtknet/drivers/net/rtl819x/rtl83xx_v1dot4/dal,170,3,4.63,".h:87, .c:83","RTL819X, RTL83XX, RTL8367C, RTL8367D"
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Realtek RTL83xx/RTL8367/RTL8325 switch driver data,GPL_AX12v1/rtl8197/rtknet/drivers/net/rtl819x/rtl8325d/include,26,3,0.83,.h:26,"RTL819X, RTL8325D, RTL8316D"
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Board/build configuration,GPL_AX12v1/rtl8197/bootcode,18,0,0.04,[no ext]:18,"RTL8197F, RTL8367R"
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Board/build configuration,GPL_AX12v1/rtl8197/boards/rtl8197F/etc.RTL8197F_ETH_RAMFS,11,1,0.02,"[no ext]:7, .conf:3, .types:1",RTL8197F
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Board/build configuration,GPL_AX12v1/rtl8197/boards/rtl8197F/etc.RTL8197F_VG_8367R_MP,11,1,0.02,"[no ext]:7, .conf:3, .types:1","RTL8197F, RTL8367R"
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Realtek RTL83xx/RTL8367/RTL8325 switch driver data,GPL_AX12v1/rtl8197/rtknet/drivers/net/rtl819x/rtl8325d/basic,4,1,1.45,.c:4,"RTL819X, RTL8325D, RTL8316D"
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Board/build configuration,GPL_AX12v1/rtl8197/boards/rtl8197F/etc.RTL8197F_ETH_RAMFS/init.d,1,1,0.0,[no ext]:1,RTL8197F
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Board/build configuration,GPL_AX12v1/rtl8197/boards/rtl8197F/etc.RTL8197F_VG_8367R_MP/init.d,1,1,0.0,[no ext]:1,"RTL8197F, RTL8367R"
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Bootloader switch support,GPL_AX12v1/rtl8197/bootcode/boot/rtl8367r/gpio.c,1,0,0.01,.c:1,RTL8367R
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Bootloader switch support,GPL_AX12v1/rtl8197/bootcode/boot/rtl8367r/gpio.h,1,0,0.0,.h:1,RTL8367R
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Bootloader switch support,GPL_AX12v1/rtl8197/bootcode/boot/rtl8367r/gpio_8198.h,1,0,0.0,.h:1,RTL8367R
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Bootloader switch support,GPL_AX12v1/rtl8197/bootcode/boot/rtl8367r/rtk_api.c,1,0,0.19,.c:1,RTL8367R
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Bootloader switch support,GPL_AX12v1/rtl8197/bootcode/boot/rtl8367r/rtk_api.h,1,0,0.04,.h:1,RTL8367R
