Archive,Area,Scope,Class,FileKind,Chips/Keywords,SizeBytes,SizeKiB,Extension,Path
GPL_AX12v1,Ethernet/Switch,generic/support tree,Other matched support data,build/config,SWCONFIG,1453,1.42,Makefile,GPL_AX12v1/Iplatform/openwrt/package/admswconfig/Makefile
GPL_AX12v1,Ethernet/Switch,generic/support tree,Other matched support data,other,SWCONFIG,1460,1.43,[no ext],GPL_AX12v1/Iplatform/openwrt/package/admswconfig/files/admswconfig
GPL_AX12v1,Ethernet/Switch,generic/support tree,Other matched support data,other,SWCONFIG,456,0.45,.sh,GPL_AX12v1/Iplatform/openwrt/package/admswconfig/files/admswswitch.sh
GPL_AX12v1,Ethernet/Switch,generic/support tree,Other matched support data,patch,SWCONFIG,396,0.39,.patch,GPL_AX12v1/Iplatform/openwrt/package/admswconfig/patches/001-matrix.patch
GPL_AX12v1,Ethernet/Switch,generic/support tree,Other matched support data,build/config,SWCONFIG,1154,1.13,Makefile,GPL_AX12v1/Iplatform/openwrt/package/swconfig/Makefile
GPL_AX12v1,Ethernet/Switch,generic/support tree,Other matched support data,other,SWCONFIG,282,0.28,.sh,GPL_AX12v1/Iplatform/openwrt/package/swconfig/files/switch.sh
GPL_AX12v1,Ethernet/Switch,generic/support tree,Other matched support data,build/config,SWCONFIG,186,0.18,Makefile,GPL_AX12v1/Iplatform/openwrt/package/swconfig/src/Makefile
GPL_AX12v1,Ethernet/Switch,generic/support tree,Other matched support data,source/header,SWCONFIG,6859,6.7,.c,GPL_AX12v1/Iplatform/openwrt/package/swconfig/src/cli.c
GPL_AX12v1,Ethernet/Switch,generic/support tree,Other matched support data,source/header,SWCONFIG,14514,14.17,.c,GPL_AX12v1/Iplatform/openwrt/package/swconfig/src/swlib.c
GPL_AX12v1,Ethernet/Switch,generic/support tree,Other matched support data,source/header,SWCONFIG,6488,6.34,.h,GPL_AX12v1/Iplatform/openwrt/package/swconfig/src/swlib.h
GPL_AX12v1,Ethernet/Switch,generic/support tree,Other matched support data,source/header,SWCONFIG,7405,7.23,.c,GPL_AX12v1/Iplatform/openwrt/package/swconfig/src/uci.c
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Board/build configuration,other,RTL8197F,9,0.01,[no ext],GPL_AX12v1/rtl8197/boards/rtl8197F/etc.RTL8197F_ETH_RAMFS/TZ
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Board/build configuration,other,RTL8197F,32,0.03,[no ext],GPL_AX12v1/rtl8197/boards/rtl8197F/etc.RTL8197F_ETH_RAMFS/group
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Board/build configuration,text/config data,RTL8197F,17,0.02,.conf,GPL_AX12v1/rtl8197/boards/rtl8197F/etc.RTL8197F_ETH_RAMFS/host.conf
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Board/build configuration,other,RTL8197F,146,0.14,[no ext],GPL_AX12v1/rtl8197/boards/rtl8197F/etc.RTL8197F_ETH_RAMFS/hosts
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Board/build configuration,other,RTL8197F,556,0.54,[no ext],GPL_AX12v1/rtl8197/boards/rtl8197F/etc.RTL8197F_ETH_RAMFS/init.d/rcS
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Board/build configuration,other,RTL8197F,308,0.3,[no ext],GPL_AX12v1/rtl8197/boards/rtl8197F/etc.RTL8197F_ETH_RAMFS/inittab
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Board/build configuration,other,RTL8197F,1552,1.52,.types,GPL_AX12v1/rtl8197/boards/rtl8197F/etc.RTL8197F_ETH_RAMFS/mime.types
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Board/build configuration,other,RTL8197F,334,0.33,[no ext],GPL_AX12v1/rtl8197/boards/rtl8197F/etc.RTL8197F_ETH_RAMFS/motd
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Board/build configuration,other,RTL8197F,59,0.06,[no ext],GPL_AX12v1/rtl8197/boards/rtl8197F/etc.RTL8197F_ETH_RAMFS/passwd
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Board/build configuration,text/config data,RTL8197F,22,0.02,.conf,GPL_AX12v1/rtl8197/boards/rtl8197F/etc.RTL8197F_ETH_RAMFS/resolv.conf
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Board/build configuration,other,RTL8197F,8205,8.01,[no ext],GPL_AX12v1/rtl8197/boards/rtl8197F/etc.RTL8197F_ETH_RAMFS/services
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Board/build configuration,text/config data,RTL8197F,9770,9.54,.conf,GPL_AX12v1/rtl8197/boards/rtl8197F/etc.RTL8197F_ETH_RAMFS/smb.conf
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Board/build configuration,other,"RTL8197F, RTL8367R",9,0.01,[no ext],GPL_AX12v1/rtl8197/boards/rtl8197F/etc.RTL8197F_VG_8367R_MP/TZ
